==Test: setup
==Test: ardmore ccal otp
==SubTest: CALC alert_current_slope_A
			lower:-0.0125; upper:0.0125; value:0.0003125
2019-05-12 05:46:36.601129   PASS
==Test: ardmore ccal speaker calculate
==SubTest: CALC speaker_current_error_10r
			lower:; upper:; value:-0.0025352279856531
2019-05-12 05:46:36.629975   PASS
==Test: ardmore ccal speaker calculate
==SubTest: CALC speaker_vmon_fs_dc_p
			lower:; upper:; value:0.77108853248695
2019-05-12 05:46:36.665243   PASS
==Test: ardmore ccal speaker calculate
==SubTest: CALC speaker_imon_fs_dc_p
			lower:; upper:; value:0.0033354984282968
2019-05-12 05:46:36.705402   PASS
==Test: ardmore ccal speaker calculate
==SubTest: CALC speaker_vmon_fs_dc_n
			lower:; upper:; value:-0.7709584918363
2019-05-12 05:46:36.731471   PASS
==Test: ardmore ccal speaker calculate
==SubTest: CALC speaker_imon_fs_dc_n
			lower:; upper:; value:-0.0032224710226753
2019-05-12 05:46:36.758493   PASS
==Test: ardmore ccal speaker calculate
==SubTest: CALC speaker_current_slope_C
			lower:-0.01; upper:0.01; value:0.00058150667600547
2019-05-12 05:46:36.772970   PASS
==Test: ardmore ccal speaker calculate
==SubTest: CALC speaker_current_intercept_C
			lower:; upper:; value:14.359757317093
2019-05-12 05:46:36.799909   PASS
==Test: ardmore ccal speaker calculate
==SubTest: CALC speaker_current_slope_intercept_C_combo_check
			lower:-0.09; upper:0.09; value:0.0029890854363987
2019-05-12 05:46:36.826550   PASS
==Test: ardmore ccal speaker calculate
==SubTest: CALC speaker_current_slope_CvsA
			lower:-0.0018; upper:0.003; value:-4.349332399453e-05
2019-05-12 05:46:36.849629   PASS
==Test: ardmore ccal speaker calculate
==SubTest: CALC speaker_current_slope_D
			lower:-0.01; upper:0.01; value:0.00057992301621843
2019-05-12 05:46:36.863669   PASS
==Test: ardmore ccal speaker calculate
==SubTest: CALC speaker_current_intercept_D
			lower:; upper:; value:14.371662987589
2019-05-12 05:46:36.871833   PASS
==Test: ardmore ccal speaker calculate
==SubTest: CALC speaker_current_slope_intercept_D_combo_check
			lower:-0.09; upper:0.09; value:0.002974040668422
2019-05-12 05:46:36.887562   PASS
==Test: ardmore ccal speaker calculate
==SubTest: CALC speaker_current_slope_DvsC
			lower:-0.0018; upper:0.0018; value:-1.58365978704e-06
2019-05-12 05:46:36.895299   PASS
==Test: ardmore ccal alert calculate
==SubTest: CALC alert_current_error_10r
			lower:; upper:; value:0.0008382915917344
2019-05-12 05:46:36.904916   PASS
==Test: ardmore ccal alert calculate
==SubTest: CALC alert_vmon_fs_dc_p
			lower:; upper:; value:0.77260858992279
2019-05-12 05:46:36.914758   PASS
==Test: ardmore ccal alert calculate
==SubTest: CALC alert_imon_fs_dc_p
			lower:; upper:; value:0.0034081049226356
2019-05-12 05:46:36.923664   PASS
==Test: ardmore ccal alert calculate
==SubTest: CALC alert_vmon_fs_dc_n
			lower:; upper:; value:-0.77297380281991
2019-05-12 05:46:36.930089   PASS
==Test: ardmore ccal alert calculate
==SubTest: CALC alert_imon_fs_dc_n
			lower:; upper:; value:-0.0014804583880123
2019-05-12 05:46:36.938776   PASS
==Test: ardmore ccal alert calculate
==SubTest: CALC alert_current_slope_C
			lower:-0.01; upper:0.01; value:0.00043328882959624
2019-05-12 05:46:36.953848   PASS
==Test: ardmore ccal alert calculate
==SubTest: CALC alert_current_intercept_C
			lower:; upper:; value:8.0652822448352
2019-05-12 05:46:36.962680   PASS
==Test: ardmore ccal alert calculate
==SubTest: CALC alert_current_slope_intercept_C_combo_check|BIG
			lower:-0.09; upper:0.09; value:0.0056044687172931
2019-05-12 05:46:36.970021   PASS
==Test: ardmore ccal alert calculate
==SubTest: CALC alert_current_slope_CvsA
			lower:-0.0018; upper:0.0018; value:0.00012078882959624
2019-05-12 05:46:36.988376   PASS
==Test: ardmore ccal alert calculate
==SubTest: CALC alert_current_slope_D
			lower:-0.01; upper:0.01; value:0.00043130814168428
2019-05-12 05:46:36.995661   PASS
==Test: ardmore ccal alert calculate
==SubTest: CALC alert_current_intercept_D
			lower:; upper:; value:8.056397478469
2019-05-12 05:46:37.012227   PASS
==Test: ardmore ccal alert calculate
==SubTest: CALC alert_current_slope_intercept_D_combo_check|BIG
			lower:-0.09; upper:0.09; value:0.0055826811502615
2019-05-12 05:46:37.028785   PASS
==Test: ardmore ccal alert calculate
==SubTest: CALC alert_current_slope_DvsC
			lower:-0.0018; upper:0.0018; value:-1.98068791196e-06
2019-05-12 05:46:37.038015   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_audio
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.045445   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 0
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.054651   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 1
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.060953   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 2
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.073535   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_audioreg 0
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.084486   PASS
==Test: ardmore Mode Pin check
==SubTest: PARSE mode_pin_value 0
			lower:; upper:; value:0x07
2019-05-12 05:46:37.097199   PASS
==Test: ardmore Mode Pin check
==SubTest: CALC 0
			lower:PASS; upper:PASS; value:PASS
2019-05-12 05:46:37.105380   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 3
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.111361   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 4
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.119516   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 5
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.129315   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_audioreg 1
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.137081   PASS
==Test: ardmore Mode Pin check
==SubTest: PARSE mode_pin_value 1
			lower:; upper:; value:0x06
2019-05-12 05:46:37.145331   PASS
==Test: ardmore Mode Pin check
==SubTest: CALC 1
			lower:PASS; upper:PASS; value:PASS
2019-05-12 05:46:37.165351   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 6
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.192611   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 7
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.213953   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 8
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.242693   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_audioreg 2
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.261391   PASS
==Test: ardmore Mode Pin check
==SubTest: PARSE mode_pin_value 2
			lower:; upper:; value:0x05
2019-05-12 05:46:37.275003   PASS
==Test: ardmore Mode Pin check
==SubTest: CALC 2
			lower:PASS; upper:PASS; value:PASS
2019-05-12 05:46:37.281959   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 9
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.289978   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 10
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.297632   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 11
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.305375   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_audioreg 3
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.312053   PASS
==Test: ardmore Mode Pin check
==SubTest: PARSE mode_pin_value 3
			lower:; upper:; value:0x04
2019-05-12 05:46:37.329469   PASS
==Test: ardmore Mode Pin check
==SubTest: CALC 3
			lower:PASS; upper:PASS; value:PASS
2019-05-12 05:46:37.361002   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 12
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.386473   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 13
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.399266   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 14
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.413965   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_audioreg 4
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.422882   PASS
==Test: ardmore Mode Pin check
==SubTest: PARSE mode_pin_value 4
			lower:; upper:; value:0x03
2019-05-12 05:46:37.433233   PASS
==Test: ardmore Mode Pin check
==SubTest: CALC 4
			lower:PASS; upper:PASS; value:PASS
2019-05-12 05:46:37.441249   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 15
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.450601   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 16
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.459936   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 17
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.467328   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_audioreg 5
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.473356   PASS
==Test: ardmore Mode Pin check
==SubTest: PARSE mode_pin_value 5
			lower:; upper:; value:0x02
2019-05-12 05:46:37.480802   PASS
==Test: ardmore Mode Pin check
==SubTest: CALC 5
			lower:PASS; upper:PASS; value:PASS
2019-05-12 05:46:37.490279   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 18
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.497609   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 19
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.503194   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 20
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.510578   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_audioreg 6
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.515438   PASS
==Test: ardmore Mode Pin check
==SubTest: PARSE mode_pin_value 6
			lower:; upper:; value:0x01
2019-05-12 05:46:37.521553   PASS
==Test: ardmore Mode Pin check
==SubTest: CALC 6
			lower:PASS; upper:PASS; value:PASS
2019-05-12 05:46:37.527332   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 21
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.532301   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 22
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.537521   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_socgpio 23
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.543008   PASS
==Test: ardmore Mode Pin check
==SubTest: DIAGS_audioreg 7
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.549608   PASS
==Test: ardmore Mode Pin check
==SubTest: PARSE mode_pin_value 7
			lower:; upper:; value:0x00
2019-05-12 05:46:37.555638   PASS
==Test: ardmore Mode Pin check
==SubTest: CALC 7
			lower:PASS; upper:PASS; value:PASS
2019-05-12 05:46:37.560507   PASS
==Test: ardmore boost1
==SubTest: DIAGS_audio
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.565317   PASS
==Test: ardmore boost1
==SubTest: DMM SNS_10V_SLEEP2_BOOST1
			lower:9.7; upper:10.3; value:10.017813
2019-05-12 05:46:37.585784   PASS
==Test: ardmore boost2
==SubTest: DIAGS_audio
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.595464   PASS
==Test: ardmore boost2
==SubTest: DELAY_100ms
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.603602   PASS
==Test: ardmore boost2
==SubTest: DMM SNS_5V6_SLEEP2_BOOST2 0
			lower:5.14; upper:5.26; value:5.206046
2019-05-12 05:46:37.609920   PASS
==Test: ardmore boost2
==SubTest: DIAGS_socgpio
			lower:; upper:; value:--PASS--
2019-05-12 05:46:37.619891   PASS
==Test: ardmore boost2
==SubTest: DELAY_500ms
			lower:; upper:; value:--PASS--
2019-05-12 05:46:38.122958   PASS
==Test: ardmore boost2
==SubTest: DMM SNS_5V6_SLEEP2_BOOST2 1
			lower:-0.03; upper:0.03; value:0.000516
2019-05-12 05:46:38.281053   PASS
==Test: ardmore irq
==SubTest: DIAGS_audio
			lower:; upper:; value:--PASS--
2019-05-12 05:46:38.367054   PASS
==Test: ardmore irq
==SubTest: DIAGS_socgpio
			lower:; upper:; value:--PASS--
2019-05-12 05:46:38.382635   PASS
==Test: ardmore bde
==SubTest: DIAGS_audio
			lower:; upper:; value:--PASS--
2019-05-12 05:46:38.477811   PASS
==Test: ardmore bde
==SubTest: DIAGS_audioreg 0
			lower:; upper:; value:--PASS--
2019-05-12 05:46:38.499465   PASS
==Test: ardmore bde
==SubTest: DIAGS_audioreg 1
			lower:; upper:; value:--PASS--
2019-05-12 05:46:38.516528   PASS
==Test: ardmore bde
==SubTest: DIAGS_audioreg 2
			lower:; upper:; value:--PASS--
2019-05-12 05:46:38.528807   PASS
==Test: ardmore bde
==SubTest: DIAGS_audioreg 3
			lower:; upper:; value:--PASS--
2019-05-12 05:46:38.546029   PASS
==Test: ardmore bde
==SubTest: DIAGS_audioreg 4
			lower:; upper:; value:--PASS--
2019-05-12 05:46:38.561535   PASS
==Test: ardmore bde
==SubTest: DIAGS_audioreg 5
			lower:; upper:; value:--PASS--
2019-05-12 05:46:38.581824   PASS
==Test: ardmore bde
==SubTest: DIAGS_socgpio
			lower:; upper:; value:--PASS--
2019-05-12 05:46:38.597493   PASS
==Test: ardmore bde
==SubTest: SUPPLY_2.9V PP_BATT_VCC
			lower:2.89; upper:2.91; value:2.899744
2019-05-12 05:46:38.763098   PASS
==Test: ardmore bde
==SubTest: DMM PP_VDD_MAIN
			lower:; upper:; value:2.898574
2019-05-12 05:46:38.916631   PASS
==Test: ardmore bde
==SubTest: smokey ardmore_bde_loop.lua
			lower:; upper:; value:
2019-05-12 05:46:39.434013   PASS
==Test: ardmore bde
==SubTest: PARSE ardmore_bde_thresh_reg
			lower:; upper:; value:0x14
2019-05-12 05:46:39.438616   PASS
==Test: ardmore bde
==SubTest: PARSE ardmore_bde_thresh_volt
			lower:; upper:; value:2.874999
2019-05-12 05:46:39.442545   PASS
==Test: ardmore bde
==SubTest: CALC ardmore_bde_thresh_volt_delta
			lower:-0.06; upper:0.06; value:-0.023575
2019-05-12 05:46:39.446542   PASS
==Test: ardmore bde
==SubTest: SUPPLY_3.85V PP_BATT_VCC
			lower:; upper:; value:3.849696
2019-05-12 05:46:39.614733   PASS
==Test: ardmore speaker setup
==SubTest: RELAY SPEAKER_LOAD_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:46:39.644335   PASS
==Test: ardmore speaker setup
==SubTest: RELAY SPEAKER_LOAD_R_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:46:39.677175   PASS
==Test: ardmore speaker setup
==SubTest: SOLADC SPEAKER_LOAD_R_SNS_P_TO_ADC
			lower:; upper:; value:0
2019-05-12 05:46:39.812097   PASS
==Test: ardmore speaker setup
==SubTest: DIAGS_audio
			lower:; upper:; value:--PASS--
2019-05-12 05:46:39.899291   PASS
==Test: ardmore speaker setup
==SubTest: DIAGS_setvol
			lower:; upper:; value:--PASS--
2019-05-12 05:46:39.923438   PASS
==Test: ardmore speaker setup
==SubTest: DIAGS_routeaudio
			lower:; upper:; value:--PASS--
2019-05-12 05:46:39.944208   PASS
==Test: ardmore speaker setup
==SubTest: DIAGS_audioparam
			lower:; upper:; value:--PASS--
2019-05-12 05:46:39.969101   PASS
==Test: ardmore speaker setup
==SubTest: DIAGS_event
			lower:; upper:; value:--PASS--
2019-05-12 05:46:40.070256   PASS
==Test: ardmore speaker setup
==SubTest: SYSTEM_CURRENT start
			lower:; upper:; value:2019-05-12 05:46:40:068
2019-05-12 05:46:40.294545   PASS
==Test: ardmore speaker current silence
==SubTest: DELAY_200ms
			lower:; upper:; value:--PASS--
2019-05-12 05:46:40.496242   PASS
==Test: ardmore speaker current silence
==SubTest: SOLADC RMS
			lower:0; upper:0.01; value:0.002860
2019-05-12 05:46:40.605699   PASS
==Test: ardmore speaker current silence
==SubTest: SYSTEM_CURRENT end
			lower:; upper:; value:2019-05-12 05:46:40:605
2019-05-12 05:46:40.798913   PASS
==Test: ardmore speaker current silence
==SubTest: DIAGS_event
			lower:; upper:; value:--PASS--
2019-05-12 05:46:40.815504   PASS
==Test: ardmore speaker current silence
==SubTest: SYSTEM_CURRENT minimum
			lower:; upper:; value:85.1053
2019-05-12 05:46:40.820150   PASS
==Test: ardmore speaker current silence
==SubTest: SYSTEM_CURRENT maximum
			lower:; upper:; value:90.6987
2019-05-12 05:46:40.823203   PASS
==Test: ardmore speaker current silence
==SubTest: SYSTEM_CURRENT average
			lower:; upper:; value:86.854
2019-05-12 05:46:40.825156   PASS
==Test: ardmore speaker current silence
==SubTest: SYSTEM_CURRENT rms
			lower:; upper:; value:86.8565
2019-05-12 05:46:40.827279   PASS
==Test: ardmore speaker current 10ohm
==SubTest: DIAGS_event 0
			lower:; upper:; value:--PASS--
2019-05-12 05:46:40.854347   PASS
==Test: ardmore speaker current 10ohm
==SubTest: SYSTEM_CURRENT start
			lower:; upper:; value:2019-05-12 05:46:40:853
2019-05-12 05:46:41.054189   PASS
==Test: ardmore speaker current 10ohm
==SubTest: CMD_ONLY
			lower:; upper:; value:--PASS--
2019-05-12 05:46:41.062795   PASS
==Test: ardmore speaker current 10ohm
==SubTest: DELAY_200ms
			lower:; upper:; value:--PASS--
2019-05-12 05:46:41.260965   PASS
==Test: ardmore speaker current 10ohm
==SubTest: SOLADC THDN
			lower:-80; upper:-51; value:-65.65825315744007
2019-05-12 05:46:41.420987   PASS
==Test: ardmore speaker current 10ohm
==SubTest: SOLADC AMP
			lower:2.65; upper:3.15; value:3.029513
2019-05-12 05:46:41.424484   PASS
==Test: ardmore speaker current 10ohm
==SubTest: SOLADC FRE
			lower:990; upper:1010; value:1000.0244888744637
2019-05-12 05:46:41.426545   PASS
==Test: ardmore speaker current 10ohm
==SubTest: DETECT_:-)
			lower:; upper:; value:--PASS--
2019-05-12 05:46:43.117752   PASS
==Test: ardmore speaker current 10ohm
==SubTest: SYSTEM_CURRENT end
			lower:; upper:; value:2019-05-12 05:46:43:117
2019-05-12 05:46:43.330925   PASS
==Test: ardmore speaker current 10ohm
==SubTest: DIAGS_event 1
			lower:; upper:; value:--PASS--
2019-05-12 05:46:43.349721   PASS
==Test: ardmore speaker current 10ohm
==SubTest: SYSTEM_CURRENT minimum
			lower:; upper:; value:61.8901
2019-05-12 05:46:43.355218   PASS
==Test: ardmore speaker current 10ohm
==SubTest: SYSTEM_CURRENT maximum
			lower:; upper:; value:342.485
2019-05-12 05:46:43.358786   PASS
==Test: ardmore speaker current 10ohm
==SubTest: SYSTEM_CURRENT average
			lower:; upper:; value:283.981
2019-05-12 05:46:43.361303   PASS
==Test: ardmore speaker current 10ohm
==SubTest: SYSTEM_CURRENT rms
			lower:; upper:; value:293.415
2019-05-12 05:46:43.363380   PASS
==Test: ardmore platinum to speaker coex
==SubTest: RELAY PLAT_TIA_0A CH0_FD_OUT
			lower:; upper:; value:--PASS--
2019-05-12 05:46:43.385696   PASS
==Test: ardmore platinum to speaker coex
==SubTest: RELAY PLAT_TIA_1A CH1_FD_OUT
			lower:; upper:; value:--PASS--
2019-05-12 05:46:43.419429   PASS
==Test: ardmore platinum to speaker coex
==SubTest: DIAGS_sensor 0
			lower:; upper:; value:--PASS--
2019-05-12 05:46:44.446818   PASS
==Test: ardmore platinum to speaker coex
==SubTest: DIAGS_sensor 1
			lower:; upper:; value:--PASS--
2019-05-12 05:46:44.466244   PASS
==Test: ardmore platinum to speaker coex
==SubTest: DIAGS_sensor 2
			lower:; upper:; value:--PASS--
2019-05-12 05:46:44.493104   PASS
==Test: ardmore platinum to speaker coex
==SubTest: DIAGS_sensor 3
			lower:; upper:; value:--PASS--
2019-05-12 05:46:44.519552   PASS
==Test: ardmore platinum to speaker coex
==SubTest: DIAGS_sensor 4
			lower:; upper:; value:--PASS--
2019-05-12 05:46:44.542008   PASS
==Test: ardmore platinum to speaker coex
==SubTest: DIAGS_sensorreg 0
			lower:; upper:; value:--PASS--
2019-05-12 05:46:44.561632   PASS
==Test: ardmore platinum to speaker coex
==SubTest: CMD_ONLY
			lower:; upper:; value:--PASS--
2019-05-12 05:46:44.564330   PASS
==Test: ardmore platinum to speaker coex
==SubTest: DELAY_200ms
			lower:; upper:; value:--PASS--
2019-05-12 05:46:44.768491   PASS
==Test: ardmore platinum to speaker coex
==SubTest: SOLADC THDN
			lower:-80; upper:-48; value:-65.51774645070532
2019-05-12 05:46:44.925293   PASS
==Test: ardmore platinum to speaker coex
==SubTest: SOLADC AMP
			lower:2.65; upper:3.15; value:3.027417
2019-05-12 05:46:44.928594   PASS
==Test: ardmore platinum to speaker coex
==SubTest: SOLADC FRE
			lower:990; upper:1010; value:1000.0241119709585
2019-05-12 05:46:44.931022   PASS
==Test: ardmore platinum to speaker coex
==SubTest: DETECT_:-)
			lower:; upper:; value:--PASS--
2019-05-12 05:46:46.625750   PASS
==Test: ardmore platinum to speaker coex
==SubTest: DIAGS_sensorreg 1
			lower:; upper:; value:--PASS--
2019-05-12 05:46:46.645562   PASS
==Test: ardmore platinum to speaker coex
==SubTest: DISCONNECT PLAT_TIA_0A 0
			lower:; upper:; value:--PASS--
2019-05-12 05:46:46.675109   PASS
==Test: ardmore platinum to speaker coex
==SubTest: DISCONNECT PLAT_TIA_0A 1
			lower:; upper:; value:--PASS--
2019-05-12 05:46:46.711203   PASS
==Test: ardmore alert to speaker coex leap
==SubTest: DIAGS_audio 0
			lower:; upper:; value:--PASS--
2019-05-12 05:46:46.796691   PASS
==Test: ardmore alert to speaker coex leap
==SubTest: DIAGS_audioparam 0
			lower:; upper:; value:--PASS--
2019-05-12 05:46:46.846097   PASS
==Test: ardmore alert to speaker coex leap
==SubTest: DIAGS_audio 1
			lower:; upper:; value:--PASS--
2019-05-12 05:46:46.963548   PASS
==Test: ardmore alert to speaker coex leap
==SubTest: DIAGS_audioparam 1
			lower:; upper:; value:--PASS--
2019-05-12 05:46:47.148829   PASS
==Test: ardmore alert to speaker coex leap
==SubTest: DIAGS_setvol
			lower:; upper:; value:--PASS--
2019-05-12 05:46:47.187681   PASS
==Test: ardmore alert to speaker coex leap
==SubTest: CMD_ONLY
			lower:; upper:; value:--PASS--
2019-05-12 05:46:47.190271   PASS
==Test: ardmore alert to speaker coex leap
==SubTest: DELAY_200ms
			lower:; upper:; value:--PASS--
2019-05-12 05:46:47.391221   PASS
==Test: ardmore alert to speaker coex leap
==SubTest: SOLADC THDN
			lower:-80; upper:-48; value:-65.56446919241453
2019-05-12 05:46:47.551913   PASS
==Test: ardmore alert to speaker coex leap
==SubTest: SOLADC AMP
			lower:2.65; upper:3.15; value:3.026119
2019-05-12 05:46:47.557053   PASS
==Test: ardmore alert to speaker coex leap
==SubTest: SOLADC FRE
			lower:990; upper:1010; value:999.1318600170141
2019-05-12 05:46:47.559784   PASS
==Test: ardmore alert to speaker coex leap
==SubTest: DETECT_:-)
			lower:; upper:; value:--PASS--
2019-05-12 05:46:49.255940   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: DIAGS_audio
			lower:; upper:; value:--PASS--
2019-05-12 05:46:49.344106   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: DIAGS_audioparam
			lower:; upper:; value:--PASS--
2019-05-12 05:46:49.363926   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: DIAGS_audioreg 0
			lower:; upper:; value:--PASS--
2019-05-12 05:46:49.381386   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: DIAGS_audioreg 1
			lower:; upper:; value:--PASS--
2019-05-12 05:46:49.399847   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: DIAGS_processaudio 0
			lower:; upper:; value:--PASS--
2019-05-12 05:46:49.415390   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: DIAGS_processaudio 1
			lower:; upper:; value:--PASS--
2019-05-12 05:46:49.458689   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: DIAGS_processaudio 2
			lower:; upper:; value:--PASS--
2019-05-12 05:46:49.504593   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: CMD_ONLY
			lower:; upper:; value:--PASS--
2019-05-12 05:46:49.508139   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: DETECT_:-)
			lower:; upper:; value:--PASS--
2019-05-12 05:46:51.550616   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: DIAGS_processaudio 3
			lower:; upper:; value:--PASS--
2019-05-12 05:46:51.575258   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: DIAGS_processaudio 4
			lower:; upper:; value:--PASS--
2019-05-12 05:46:52.126300   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: PARSE LAIM_freq
			lower:; upper:; value: 999.755859
2019-05-12 05:46:52.132032   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: CALC LAIM_Frequency
			lower:; upper:; value:999.755859
2019-05-12 05:46:52.135922   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: PARSE LAIM_Peak_Magnitude
			lower:; upper:; value:0.005602
2019-05-12 05:46:52.138169   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: CALC LAIM_Peak_Magnitude_volts
			lower:; upper:; value:1.4196234591702e-05
2019-05-12 05:46:52.140556   PASS
==Test: ardmore speaker LAIM -5db
==SubTest: PARSE LAIM_THDN
			lower:; upper:; value:-21.250067
2019-05-12 05:46:52.143249   PASS
==Test: ardmore speaker teardown
==SubTest: DIAGS_processaudio
			lower:; upper:; value:--PASS--
2019-05-12 05:46:52.150869   PASS
==Test: ardmore speaker teardown
==SubTest: SOLADC DISCONNECT
			lower:; upper:; value:0
2019-05-12 05:46:52.206764   PASS
==Test: ardmore speaker teardown
==SubTest: DISCONNECT SPEAKER_LOAD_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:46:52.253131   PASS
==Test: ardmore speaker teardown
==SubTest: DISCONNECT SPEAKER_LOAD_R_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:46:52.283591   PASS
==Test: ardmore alert setup leap
==SubTest: RELAY ALERT_LOAD_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:46:52.309901   PASS
==Test: ardmore alert setup leap
==SubTest: DISCONNECT ALERT_LOAD_20R_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:46:52.340264   PASS
==Test: ardmore alert setup leap
==SubTest: RELAY ALERT_LOAD_10R_EN
			lower:; upper:; value:--PASS--
2019-05-12 05:46:52.371850   PASS
==Test: ardmore alert setup leap
==SubTest: SOLADC ALERT_LOAD_10R_SNS_P_TO_ADC
			lower:; upper:; value:0
2019-05-12 05:46:52.507939   PASS
==Test: ardmore alert setup leap
==SubTest: DIAGS_audio 0
			lower:; upper:; value:--PASS--
2019-05-12 05:46:52.594199   PASS
==Test: ardmore alert setup leap
==SubTest: DIAGS_audioparam 0
			lower:; upper:; value:--PASS--
2019-05-12 05:46:52.649768   PASS
==Test: ardmore alert setup leap
==SubTest: DIAGS_audio 1
			lower:; upper:; value:--PASS--
2019-05-12 05:46:52.703911   PASS
==Test: ardmore alert setup leap
==SubTest: DIAGS_audioparam 1
			lower:; upper:; value:--PASS--
2019-05-12 05:46:52.897414   PASS
